"Week","Season Type","Start Date","Completed","Home Id","Home Team","Home Division","Home Conference","Home Points","Away Id","Away Team","Away Division","Away Conference","Away Points"
"2","regular","2024-09-05T22:00:00.000Z","true","122666","Wilson","ii","South Atlantic","24","2707","West Virginia State","ii","Mountain East","27"
"2","regular","2024-09-05T22:00:00.000Z","true","2583","Southern Connecticut State","ii","Northeast 10","0","2974","Shepherd","ii","Pennsylvania State Athletic","23"
"2","regular","2024-09-05T23:00:00.000Z","true","2487","Pace","ii","Northeast 10","6","2188","East Stroudsburg University","ii","Pennsylvania State Athletic","41"
"2","regular","2024-09-05T23:00:00.000Z","true","2781","Brockport","iii","Empire 8","27","2085","Buffalo State","iii","Liberty League","0"
"2","regular","2024-09-05T23:00:00.000Z","true","308","Ashland","ii","Great Midwest Athletic","10","2291","Indiana-Pennsylvania","ii","Pennsylvania State Athletic","19"
"2","regular","2024-09-05T23:00:00.000Z","true","367","Gannon","ii","Pennsylvania State Athletic","14","2886","Northwood (MI)","ii","Great Midwest Athletic","28"
"2","regular","2024-09-05T23:00:00.000Z","true","2191","East Central (OK)","ii","Great American","17","2271","Henderson State","ii","Great American","41"
"2","regular","2024-09-05T23:00:00.000Z","true","471","Stevenson","iii","Mid Atlantic","16","2827","Rowan","iii","New Jersey","35"
"2","regular","2024-09-05T23:00:00.000Z","true","2316","Kentucky Wesleyan","ii","Great Midwest Athletic","33","128","Northern Michigan","ii","GLIAC","13"
"2","regular","2024-09-05T23:00:00.000Z","true","110242","West Florida","ii","Gulf South","38","2816","McKendree","ii","Great Lakes","6"
"2","regular","2024-09-05T23:00:00.000Z","true","199","Southeastern Oklahoma State","ii","Great American","31","2568","Southern Arkansas","ii","Great American","36"
"2","regular","2024-09-05T23:00:00.000Z","true","2028","Arkansas-Monticello","ii","Great American","34","2823","Northwestern Oklahoma State","ii","Great American","7"
"2","regular","2024-09-05T23:00:00.000Z","true","2817","Minnesota State Moorhead","ii","Northern Sun","17","2844","Wayne State (NE)","ii","Northern Sun","44"
"2","regular","2024-09-05T23:00:00.000Z","true","2699","West Liberty","ii","Mountain East","13","2336","Limestone","ii","South Atlantic","48"
"2","regular","2024-09-05T23:00:00.000Z","true","2744","Wisconsin-Stout","iii","Wisconsin","16","32","Carroll University (WI)","iii","CCIW","28"
"2","regular","2024-09-05T23:00:00.000Z","true","2822","North Greenville","ii","Gulf South","20","126110","Keiser University","","","23"
"2","regular","2024-09-05T23:00:00.000Z","true","341","Frostburg State","ii","Mountain East","23","210","Millersville","ii","Pennsylvania State Athletic","6"
"2","regular","2024-09-05T23:00:00.000Z","true","559","University of Mary","ii","Northern Sun","13","2043","Augustana University (SD)","ii","Northern Sun","35"
"2","regular","2024-09-05T23:00:00.000Z","true","191","Heidelberg","iii","Ohio","38","2274","Hiram College","iii","North Coast","14"
"2","regular","2024-09-05T23:00:00.000Z","true","611","Seton Hill","ii","Pennsylvania State Athletic","14","2477","Ohio Dominican","ii","Great Midwest Athletic","21"
